"","Gene","SLE004","SLE005","SLE006","SLE007","SLE008"
"26409","MUSK",0,0,0,0,0
"26410","MUSTN1",1,1,0,1,1
"26411","MUT",142,67,116,71,50
"26412","MUTYH",88,94,76,67,88
"26413","MVB12A",110,72,87,81,84
"26414","MVB12B",133,66,121,42,60
"26415","MVD",168,135,144,93,134
"26416","MVK",47,46,41,40,29
"26417","MVP",2189,1900,2064,1606,1704
"26418","MX1",5964,752,2550,376,479
"26419","MX2",4367,1450,2129,983,644
"26420","MXD1",6670,3761,5085,3192,1674
"26421","MXD3",222,196,151,117,113
"26422","MXD4",696,783,663,781,718
"26423","MXI1",354,479,1598,625,1621
"26424","MXRA5",0,0,0,0,0
"26425","MXRA5Y",0,0,0,0,0
"26426","MXRA7",179,47,132,28,17
"26427","MXRA8",34,18,13,9,13
"26428","MYADM",1590,1318,1861,1284,1872
"26429","MYADML",0,0,0,0,0
"26430","MYADML2",0,1,0,0,0
"26431","MYB",34,27,24,26,24
"26432","MYB-AS1",1,0,0,0,0
"26433","MYBBP1A",196,209,135,234,167
"26434","MYBL1",435,216,383,203,84
"26435","MYBL2",33,28,16,48,47
"26436","MYBPC1",1,0,2,2,1
"26437","MYBPC2",2,2,0,0,1
"26438","MYBPC3",92,65,61,36,30
"26439","MYBPH",0,1,4,0,2
"26440","MYBPHL",0,0,0,0,0
"26441","MYC",360,330,143,468,403
"26442","MYCBP",219,129,181,90,88
"26443","MYCBP2",1571,864,1231,966,390
"26444","MYCBP2-AS1",1,0,0,2,0
"26445","MYCBP2-AS2",1,0,0,0,0
"26446","MYCBPAP",12,7,1,5,0
"26447","MYCL",209,142,146,85,144
"26448","MYCLP1",0,0,0,0,0
"26449","MYCLP2",0,0,0,0,0
"26450","MYCN",0,0,0,0,0
"26451","MYCNOS",0,0,0,2,1
"26452","MYCNUT",0,0,0,0,0
"26453","MYCT1",12,9,2,6,5
"26454","MYD88",2973,1662,2571,1202,1336
"26455","MYDGF",179,173,185,134,159
"26456","MYEF2",31,13,23,17,8
"26457","MYEOV",4,8,3,14,10
"26458","MYEOV2",145,98,128,88,80
"26459","MYF5",0,0,0,0,0
"26460","MYF6",0,0,0,0,0
"26461","MYH1",0,0,0,0,0
"26462","MYH10",40,25,21,26,5
"26463","MYH11",37,33,19,18,7
"26464","MYH13",0,0,0,0,0
"26465","MYH14",0,1,0,0,1
"26466","MYH15",2,0,1,0,0
"26467","MYH16",0,0,0,0,0
"26468","MYH2",0,0,0,0,0
"26469","MYH3",32,15,20,23,18
"26470","MYH4",0,0,0,0,0
"26471","MYH6",0,0,0,0,0
"26472","MYH7",0,0,0,0,0
"26473","MYH7B",5,7,3,9,6
"26474","MYH8",0,0,0,0,0
"26475","MYH9",10951,11322,9790,9580,7598
"26476","MYHAS",0,0,0,0,0
"26477","MYL1",0,0,0,0,0
"26478","MYL10",0,0,0,0,0
"26479","MYL12A",2713,1748,2349,1470,1535
"26480","MYL12AP1",0,0,0,0,0
"26481","MYL12B",1931,1269,1848,990,1020
"26482","MYL12BP1",4,0,0,1,1
"26483","MYL12BP2",0,0,0,0,0
"26484","MYL2",1,0,1,0,0
"26485","MYL3",0,0,0,0,0
"26486","MYL4",495,525,486,673,570
"26487","MYL5",54,39,33,35,42
"26488","MYL6",4397,2655,4647,2208,3169
"26489","MYL6B",19,23,17,19,11
"26490","MYL6BP1",0,0,0,0,0
"26491","MYL6P1",1,0,0,0,0
"26492","MYL6P2",0,1,2,0,1
"26493","MYL6P3",0,1,1,2,3
"26494","MYL6P4",0,1,0,0,2
"26495","MYL6P5",0,2,0,4,0
"26496","MYL7",0,0,0,0,0
"26497","MYL8P",0,0,0,0,0
"26498","MYL9",182,95,162,301,716
"26499","MYLIP",705,329,459,338,195
"26500","MYLK",44,100,32,102,108
"26501","MYLK-AS1",4,2,1,2,2
"26502","MYLK-AS2",0,0,0,0,0
"26503","MYLK2",0,1,0,0,0
"26504","MYLK3",2,0,3,1,1
"26505","MYLK4",3,7,2,4,2
"26506","MYLKP1",1,1,0,0,1
"26507","MYLPF",3,2,4,4,1
"26508","MYNN",155,74,115,72,40
"26509","MYO10",25,7,8,4,7
"26510","MYO15A",2,1,2,1,1
"26511","MYO15B",1639,696,458,596,493
"26512","MYO16",6,1,0,2,0
"26513","MYO16-AS1",1,0,0,0,0
"26514","MYO16-AS2",0,0,0,0,0
"26515","MYO18A",619,506,455,538,411
"26516","MYO18B",3,5,0,0,2
"26517","MYO19",182,115,111,100,57
"26518","MYO1A",5,4,4,6,4
"26519","MYO1B",4,4,2,3,0
"26520","MYO1C",167,107,83,112,107
"26521","MYO1D",35,34,30,36,15
"26522","MYO1E",86,47,47,49,50
